ID	Question (English)	Question (Hindi)	Domain	Answer (English)	Answer String(English)	Answer (Hindi)	Answer String(Hindi)	Availability in	Answer Type
2451	What is the importance of layer of ozone?	ओजोन की परत का महत्व क्या है?	Environment	It also contains a layer of ozone, which absorbs ultra-violet light known to cause cancer and without which, no life could exist on earth.	It also contains a layer of ozone, which absorbs ultra-violet light known to cause cancer and without which, no life could exist on earth.	इसमें ओजोन की परत भी शामिल है, जो पराबैंगनी (अल्ट्रा वायलेट) प्रकाश को अवशोषित करती है जिसके कारण पृथ्वी पर कैंसर रोग फैलता है,  इसके बगैर पृथ्वी पर जीवन संभव नहीं है।	इसमें ओजोन की परत भी शामिल है, जो पराबैंगनी (अल्ट्रा वायलेट) प्रकाश को अवशोषित करती है जिसके कारण पृथ्वी पर कैंसर रोग फैलता है,  इसके बगैर पृथ्वी पर जीवन संभव नहीं है।	Both	Descriptive
2296	What is the option value allows us to use?	विकल्प मान क्या हमें उपयोग करने की अनुमति देता है?	Environment	The option value allows us to use its resources sustainably and preserve its goods and services for the future.	The option value allows us to use its resources sustainably and preserve its goods and services for the future.	हालांकि, प्रकृति ने हमें कई विकल्प प्रदान किए हैं कि किस तरह हम इन वस्तुओं व सेवाओं का उपयोग कर सकते हैं।	हालांकि, प्रकृति ने हमें कई विकल्प प्रदान किए हैं कि किस तरह हम इन वस्तुओं व सेवाओं का उपयोग कर सकते हैं।	Both	Descriptive
2453	What ozone layer absorbs?	ओजोन परत क्या अवशोषित करता हैं?	Environment	ultra-violet light	It also contains a layer of ozone, which absorbs ultra-violet light known to cause cancer and without which, no life could exist on earth.	पराबैंगनी (अल्ट्रा वायलेट) प्रकाश	इसमें ओजोन की परत भी शामिल है, जो पराबैंगनी (अल्ट्रा वायलेट) प्रकाश को अवशोषित करती है जिसके कारण पृथ्वी पर कैंसर रोग फैलता है,  इसके बगैर पृथ्वी पर जीवन संभव नहीं है।	Both	Factoid
2294	What is the option values of nature?	प्रकृति का विकल्प मान क्या है?	Environment	The option values of nature: If we use up all our resources, kill off and let species of plants and animals become extinct on earth, pollute our air and water, degrade land, and create enormous quantities of waste, we as a generation will leave nothing for future generations.	The option values of nature: If we use up all our resources, kill off and let species of plants and animals become extinct on earth, pollute our air and water, degrade land, and create enormous quantities of waste, we as a generation will leave nothing for future generations.	प्रकृति की विकल्प मान्यता : यदि  हम हमारे सभी संसाधनों का उपयोग कर लेते हैं सभी जीवों को मर देते हैं या वे पृथ्वी से विलुप्त हो जाते हैं, हवा प्रदूषित हो जाती है, भूमि बंजर हो जाती हैं, तथा पृथ्वी के हर कोने पर कूड़ा कचरा इकठ्ठा कर लेते हैं तो इतना तो तय है कि हम आगे आने वाली पीढ़ियों के लिए कुछ भी रहने लायक नहीं छोड़ रहे हैं|	प्रकृति की विकल्प मान्यता : यदि  हम हमारे सभी संसाधनों का उपयोग कर लेते हैं सभी जीवों को मर देते हैं या वे पृथ्वी से विलुप्त हो जाते हैं, हवा प्रदूषित हो जाती है, भूमि बंजर हो जाती हैं, तथा पृथ्वी के हर कोने पर कूड़ा कचरा इकठ्ठा कर लेते हैं तो इतना तो तय है कि हम आगे आने वाली पीढ़ियों के लिए कुछ भी रहने लायक नहीं छोड़ रहे हैं|	Both	Descriptive
2190	Which country topped in the First Environmental Democracy Index (EDI) released by Washington-based World Resource Institute (WRI) and the Access Initiative on 20 May 2015?	वाशिंगटन स्थित वर्ल्ड रिसोर्स इंस्टीट्यूट (डब्लूआरआई) और  एक्सेस इनिशिएटिव द्वारा 20 मई 2015 कोजारी किए गए पहले पर्यावरण लोकतंत्र सूचकांक (ईडीआई) में कौन सा देश सबसे ऊपर था?	Environment	Lithuania	The First Environmental Democracy Index (EDI) released by Washington-based World Resource Institute (WRI) and the Access Initiative on 20 May 2015 evaluates India as ranked 24th position out of 70 countries which is topped by Lithuania.	लिथुआनिया	20 मई 2015 को वाशिंगटन स्थित विश्व संसाधन संस्थान (WRI) द्वारा जारी पहले पर्यावरण लोकतंत्र सूचकांक (ईडीआई) में 70 देशों में से भारत का 24वां स्थान है जिसमें लिथुआनिया सबसे ऊपर है |	Both	Factoid
2192	What is Carbon Dioxide Cycle?	कार्बन डाइऑक्साइड चक्र क्या है?	Environment	The Carbon Dioxide Cycle: In the presence of sunlight, plants take up carbon dioxide from the atmosphere through their leaves.	The Carbon Dioxide Cycle: In the presence of sunlight, plants take up carbon dioxide from the atmosphere through their leaves.	कार्बन चक्र : सूर्य के प्रकाश की उपस्थिती मे पौधे अपनी पत्तियों के माध्यम से वातावरण से कार्बनडाई आक्साइड ग्रहण करते है। पौधे अपने जड़ के द्वारा मृदा से सोखे गए पानी को कार्बनडाई आक्साइड से मिलाते है।	कार्बन चक्र : सूर्य के प्रकाश की उपस्थिती मे पौधे अपनी पत्तियों के माध्यम से वातावरण से कार्बनडाई आक्साइड ग्रहण करते है। पौधे अपने जड़ के द्वारा मृदा से सोखे गए पानी को कार्बनडाई आक्साइड से मिलाते है।	Both	Descriptive
2193	Due to what Life on earth can be possible?	पृथ्वी पर जीवन किस वजह से संभव है?	Environment			वातावरण मे गैसों के होने की वजह से पृथ्वी पर जीवन संभव हो सकता है।	वातावरण मे गैसों के होने की वजह से पृथ्वी पर जीवन संभव हो सकता है।	Hindi	Descriptive
2194	From which gas plants and trees get life?	कौन से गैस पौधों और पेड़ों को जीवन मिलता है?	Environment			कार्बनडाई आक्साइड	पौधो और वृक्षो को कार्बनडाई आक्साइड से जीवन मिलता है और वृक्ष मनुष्य को जीवन प्रदान करते है।	Hindi	Factoid
2195	In what presence plants take up carbon dioxide from the atmosphere through their leaves?	किसकी उपस्थिति मे पौधे अपने पत्तों के माध्यम से वातावरण से कार्बन डाइऑक्साइड लेते हैं?	Environment	sunlight	The Carbon Dioxide Cycle: In the presence of sunlight, plants take up carbon dioxide from the atmosphere through their leaves.	सूर्य के प्रकाश	सूर्य के प्रकाश की उपस्थिती मे पौधे अपनी पत्तियों के माध्यम से वातावरण से कार्बनडाई आक्साइड ग्रहण करते है।	Both	Factoid
2196	What is photosynthesis?	प्रकाश संश्लेषण क्या है?	Environment	The Carbon Dioxide Cycle: In the presence of sunlight, plants take up carbon dioxide from the atmosphere through their leaves. The plants combine carbon dioxide with water, which is absorbed by their roots from the soil. In the presence of sunlight they are able to form carbohydrates that contain carbon. This process is known as photosynthesis.	The Carbon Dioxide Cycle: In the presence of sunlight, plants take up carbon dioxide from the atmosphere through their leaves. The plants combine carbon dioxide with water, which is absorbed by their roots from the soil. In the presence of sunlight they are able to form carbohydrates that contain carbon. This process is known as photosynthesis.	वातावरण मे गैसों के होने की वजह से पृथ्वी पर जीवन संभव हो सकता है। पौधो और वृक्षो को कार्बनडाई आक्साइड से जीवन मिलता है और वृक्ष मनुष्य को जीवन प्रदान करते है। इस तरह से दोनों एक दूसरे पर निर्भर है। सूर्य के प्रकाश की उपस्थिती मे पौधे अपनी पत्तियों के माध्यम से वातावरण से कार्बनडाई आक्साइड ग्रहण करते है। पौधे अपने जड़ के द्वारा मृदा से सोखे गए पानी को कार्बनडाई आक्साइड से मिलाते है।    कार्बन चक्र : सूर्य के प्रकाश की उपस्थिती मे पौधे अपनी पत्तियों के माध्यम से वातावरण से कार्बनडाई आक्साइड ग्रहण करते है। पौधे अपने जड़ के द्वारा मृदा से सोखे गए पानी को कार्बनडाई आक्साइड से मिलाते है। सूर्य के प्रकाश की उपस्थिति मे वे कार्बोहाइड्रेट का निर्माण करते है जिसमे कार्बन संचित होता है। इस प्रक्रिया को प्रकाश संश्लेषण कहते है।	वातावरण मे गैसों के होने की वजह से पृथ्वी पर जीवन संभव हो सकता है। पौधो और वृक्षो को कार्बनडाई आक्साइड से जीवन मिलता है और वृक्ष मनुष्य को जीवन प्रदान करते है। इस तरह से दोनों एक दूसरे पर निर्भर है। सूर्य के प्रकाश की उपस्थिती मे पौधे अपनी पत्तियों के माध्यम से वातावरण से कार्बनडाई आक्साइड ग्रहण करते है। पौधे अपने जड़ के द्वारा मृदा से सोखे गए पानी को कार्बनडाई आक्साइड से मिलाते है।    कार्बन चक्र : सूर्य के प्रकाश की उपस्थिती मे पौधे अपनी पत्तियों के माध्यम से वातावरण से कार्बनडाई आक्साइड ग्रहण करते है। पौधे अपने जड़ के द्वारा मृदा से सोखे गए पानी को कार्बनडाई आक्साइड से मिलाते है। सूर्य के प्रकाश की उपस्थिति मे वे कार्बोहाइड्रेट का निर्माण करते है जिसमे कार्बन संचित होता है। इस प्रक्रिया को प्रकाश संश्लेषण कहते है।	Both	Descriptive
2197	What is combined by the plant with water, which is absorbed by their roots from the soil?	पानी के साथ पौधे द्वारा क्या मिलाया जाता है, जो अपनी जड़ें मिट्टी से अवशोषित होती है?	Environment	carbon dioxide	The plants combine carbon dioxide with water, which is absorbed by their roots from the soil.	कार्बनडाई आक्साइड	पौधे अपने जड़ के द्वारा मृदा से सोखे गए पानी को कार्बनडाई आक्साइड से मिलाते है।	Both	Factoid
2198	Why plants use photosynthesis?	क्यों पौधे प्रकाश संश्लेषण का उपयोग करते हैं?	Environment	This process is known as photosynthesis. Plants use this complex mechanism for their growth and development.	This process is known as photosynthesis. Plants use this complex mechanism for their growth and development.	इस प्रक्रिया को प्रकाश संश्लेषण कहते है। इस जटिल प्रक्रिया के द्वारा पौधे अपना वृद्धि और विकास करते है।	इस प्रक्रिया को प्रकाश संश्लेषण कहते है। इस जटिल प्रक्रिया के द्वारा पौधे अपना वृद्धि और विकास करते है।	Both	Descriptive
2199	Which gas is released by plants into the atmosphere on which animals depend for their respiration?	किस गैस को पौधों द्वारा वातावरण में जारी किया जाता है, जिस पर जानवर अपने श्वसन के लिए निर्भर हैं?	Environment	oxygen	In this process, plants release oxygen into the atmosphere on which animals depend for their respiration.	ऑक्सीजन	इस प्रक्रिया मे पौधे वातावरण मे ऑक्सीजन छोड़ते है जिस पर जन्तु श्वसन क्रिया के लिए निर्भर रहते है।	Both	Factoid
2569	What is the full form of ICRISAT?	ICRISAT का पूरा रूप क्या है?	Environment	International Crops Research Institute for the Semi-Arid Tropics	On 29 December 2014, International Crops Research Institute for the Semi-Arid Tropics (ICRISAT) launched GreenPHABLET for small farmers.	अर्द्ध शुष्क उष्णकटिबंधीय अंतर्राष्ट्रीय फसल अनुसंधान संस्थान	अर्द्ध शुष्क उष्णकटिबंधीय अंतर्राष्ट्रीय फसल अनुसंधान संस्थान (ICRISAT) ने 29 दिसंबर 2014  को ग्रीन फैबलेट (छोटे किसानों के लिए) की शुरूआत की थी।	Both	Factoid
2201	What is the Oxygen Cycle?	ऑक्सीजन चक्र क्या है?	Environment	The Oxygen Cycle: Oxygen is taken up by plants and animals from the air during respiration. The plants return oxygen to the atmosphere during photosynthesis. This links the Oxygen Cycle to the Carbon Cycle.	The Oxygen Cycle: Oxygen is taken up by plants and animals from the air during respiration. The plants return oxygen to the atmosphere during photosynthesis. This links the Oxygen Cycle to the Carbon Cycle.	ऑक्सीजन चक्र : श्वसन क्रिया के दौरान पौधो और जन्तुओं के द्वारा ऑक्सीजन वायुमंडल से लिया जाता है। पौधे प्रकाश संश्लेषण की प्रक्रिया के दौरान वातावरण मे ऑक्सीजन छोडते है। यह ऑक्सीजन चक्र को कार्बन चक्र से जोड़ता है।	ऑक्सीजन चक्र : श्वसन क्रिया के दौरान पौधो और जन्तुओं के द्वारा ऑक्सीजन वायुमंडल से लिया जाता है। पौधे प्रकाश संश्लेषण की प्रक्रिया के दौरान वातावरण मे ऑक्सीजन छोडते है। यह ऑक्सीजन चक्र को कार्बन चक्र से जोड़ता है।	Both	Descriptive
2202	During what Oxygen is taken up by plants and animals from the air?	किस प्रिक्रिया के दौरान ऑक्सीजन को हवा से पौधों और जानवरों द्वारा उठाया लिया जाता है?	Environment	respiration	The Oxygen Cycle: Oxygen is taken up by plants and animals from the air during respiration.	श्वसन क्रिया	ऑक्सीजन चक्र : श्वसन क्रिया के दौरान पौधो और जन्तुओं के द्वारा ऑक्सीजन वायुमंडल से लिया जाता है।	Both	Factoid
2203	Which gas is taken up by plants and animals from the air during respiration?	श्वसन के दौरान हवा से पौधों और जानवरों द्वारा कौन सी गैस ली जाती है?	Environment	Oxygen	The Oxygen Cycle: Oxygen is taken up by plants and animals from the air during respiration.	ऑक्सीजन	ऑक्सीजन चक्र : श्वसन क्रिया के दौरान पौधो और जन्तुओं के द्वारा ऑक्सीजन वायुमंडल से लिया जाता है।	Both	Factoid
2204	From where oxygen is taken during respiration by plants and animals?	कहाँ से ऑक्सीजन पौधों और जानवरों द्वारा श्वसन के दौरान लिया जाता है?	Environment			वायुमंडल	ऑक्सीजन चक्र : श्वसन क्रिया के दौरान पौधो और जन्तुओं के द्वारा ऑक्सीजन वायुमंडल से लिया जाता है।	Hindi	Factoid
2205	During what the plants return oxygen to the atmosphere?	क्या पौधे वातावरण में ऑक्सीजन लौटते हैं?	Environment	photosynthesis	The plants return oxygen to the atmosphere during photosynthesis.	प्रकाश संश्लेषण	पौधे प्रकाश संश्लेषण की प्रक्रिया के दौरान वातावरण मे ऑक्सीजन छोडते है।	Both	Factoid
2206	What links the Oxygen Cycle to the Carbon Cycle?	किससे कार्बन चक्र में ऑक्सीजन चक्र जोड़ता है?	Environment	The plants return oxygen to the atmosphere during photosynthesis. This links the Oxygen Cycle to the Carbon Cycle.	The plants return oxygen to the atmosphere during photosynthesis. This links the Oxygen Cycle to the Carbon Cycle.	पौधे प्रकाश संश्लेषण की प्रक्रिया के दौरान वातावरण मे ऑक्सीजन छोडते है। यह ऑक्सीजन चक्र को कार्बन चक्र से जोड़ता है।	पौधे प्रकाश संश्लेषण की प्रक्रिया के दौरान वातावरण मे ऑक्सीजन छोडते है। यह ऑक्सीजन चक्र को कार्बन चक्र से जोड़ता है।	Both	Descriptive
2207	What is likely to gradually reduce the oxygen levels in our atmosphere?	हमारे वातावरण में धीरे-धीरे ऑक्सीजन के स्तर को कम करने की संभावना क्या है?	Environment	Deforestation	Deforestation is likely to gradually reduce the oxygen levels in our atmosphere.	वनो की कटाई	वनो की कटाई से हमारे वातावरण मे ऑक्सीजन का स्तर तेजी से घट रहा है।	Both	Factoid
2561	What is the Biosphere?	जीवमंडल क्या है?	Environment	Biosphere: This is the relatively thin layer on the earth in which life can exist. Within it the air, water, rocks and soil and the living creatures, form structural and functional ecological units, which together can be considered as one giant global living system, that of our Earth itself. Within this framework, those characterized by broadly similar geography and climate, as well as communities of plant and animal life can be divided for convenience into different bio-geographical realms. These occur on different continents.	Biosphere: This is the relatively thin layer on the earth in which life can exist. Within it the air, water, rocks and soil and the living creatures, form structural and functional ecological units, which together can be considered as one giant global living system, that of our Earth itself. Within this framework, those characterized by broadly similar geography and climate, as well as communities of plant and animal life can be divided for convenience into different bio-geographical realms. These occur on different continents.	जीवमंडल: यह पृथ्वी पर अपेक्षाकृत पतली परत है जिसमें जिंदगी मौजूद हो सकती है। इसमें हवा, पानी, चट्टानें और मिट्टी जो संरचनात्मक और कार्यात्मक पारिस्थितिक इकाइयों का गठन करती हैं जिसे एक साथ विशाल वैश्विक जीवित रहने वाले प्रणाली के रूप में जाना जा सकता है और इसे हमारी पृथ्वी के रूप में जाना जाता है। इस ढांचे के भीतर, मोटे तौर पर इसी तरह के भूगोल और जलवायु की विशेषता के साथ-साथ पौधों और पशु जीवन के समुदायों के विभिन्न जैव भौगोलिक स्थानों को सुविधानुसार विभाजित किया जा सकता है। ये अलग-अलग महाद्वीपों में होते हैं।	जीवमंडल: यह पृथ्वी पर अपेक्षाकृत पतली परत है जिसमें जिंदगी मौजूद हो सकती है। इसमें हवा, पानी, चट्टानें और मिट्टी जो संरचनात्मक और कार्यात्मक पारिस्थितिक इकाइयों का गठन करती हैं जिसे एक साथ विशाल वैश्विक जीवित रहने वाले प्रणाली के रूप में जाना जा सकता है और इसे हमारी पृथ्वी के रूप में जाना जाता है। इस ढांचे के भीतर, मोटे तौर पर इसी तरह के भूगोल और जलवायु की विशेषता के साथ-साथ पौधों और पशु जीवन के समुदायों के विभिन्न जैव भौगोलिक स्थानों को सुविधानुसार विभाजित किया जा सकता है। ये अलग-अलग महाद्वीपों में होते हैं।	Both	Descriptive
2209	Which is the biogeochemical cycle that describes the movement of oxygen within its three main reservoirs: the atmosphere (air), the total content of biological matter within the biosphere (the global sum of all ecosystems), and the lithosphere (Earth's crust)?	कौन सा जैव-रसायन चक्र है जो अपने तीन मुख्य जलाशयों में ऑक्सीजन के आंदोलन का वर्णन करता है: वायुमंडल (वायु), जीवमंडल के भीतर जैविक पदार्थ की कुल सामग्री (सभी पारिस्थितिक तंत्रों की वैश्विक राशि) और लिथोस्फियर (पृथ्वी की परत)?	Environment	oxygen cycle	The oxygen cycle is the biogeochemical cycle that describes the movement of oxygen within its three main reservoirs: the atmosphere (air), the total content of biological matter within the biosphere (the global sum of all ecosystems), and the lithosphere (Earth's crust).	ऑक्सीजन चक्र	ऑक्सीजन चक्र एक जैव रसायनिक चक्र है जो इसके तीन मुख्य भंडारणों मे ऑक्सीजन की गति की व्याख्या करता है: वातावरण (हवा), जीवमंडल मे जैविक पदार्थो की कुल मात्रा (पूरे पारिस्थितिक तंत्र का वैश्विक योग) और स्थलमंडल (पृथ्वी का आवरण)।	Both	Factoid
2563	Into what characterized by broadly similar geography and climate, as well as communities of plant and animal life can be divided for convenience?	मोटे तौर पर किस प्रकार की भूगोल और जलवायु, साथ ही पौधे और पशु जीवन के समुदायों को सुविधा के लिए विभाजित किया जा सकता है?	Environment	bio-geographical realms	Within this framework, those characterized by broadly similar geography and climate, as well as communities of plant and animal life can be divided for convenience into different bio-geographical realms.	जैव भौगोलिक स्थानों	इस ढांचे के भीतर, मोटे तौर पर इसी तरह के भूगोल और जलवायु की विशेषता के साथ-साथ पौधों और पशु जीवन के समुदायों के विभिन्न जैव भौगोलिक स्थानों को सुविधानुसार विभाजित किया जा सकता है।	Both	Factoid
2562	In which sphere life can exist?	किस मंडल में जीवन मौजूद हो सकता है?	Environment	Biosphere	Biosphere: This is the relatively thin layer on the earth in which life can exist.	जीवमंडल	जीवमंडल: यह पृथ्वी पर अपेक्षाकृत पतली परत है जिसमें जिंदगी मौजूद हो सकती है।	Both	Factoid
2565	What exists freely in nature?	प्रकृति में क्या स्वतंत्र रूप से मौजूद है?	Environment	Energy	Energy exists freely in nature.			English	Factoid
2564	What is non- renewable energy?	गैर-अक्षय ऊर्जा क्या है?	Environment	Non-renewable energy resources cannot be replaced – once they are used up, they will not be restored (or not for millions of years).	Non-renewable energy resources cannot be replaced – once they are used up, they will not be restored (or not for millions of years).	ये गैर नवीकरणीय संसाधन, एक बार इस्तेमाल में आते हैं, एक अलग रूप में पृथ्वी पर रहते हैं और जब तक पुनर्नवीनीकरण न हो जाये, ये अपशिष्ट पदार्थ बन जाते हैं।	ये गैर नवीकरणीय संसाधन, एक बार इस्तेमाल में आते हैं, एक अलग रूप में पृथ्वी पर रहते हैं और जब तक पुनर्नवीनीकरण न हो जाये, ये अपशिष्ट पदार्थ बन जाते हैं।	Both	Descriptive
2567	When International Crops Research Institute for the Semi-Arid Tropics (ICRISAT) launched green tablets for small farmers?	कब अर्द्ध शुष्क उष्णकटिबंधीय अंतर्राष्ट्रीय फसल अनुसंधान संस्थान  (आईसीआरआईएसएटीटी) ने छोटे किसानों के लिए ग्रीनपाहाल का शुभारंभ किया?	Environment	29 December 2014	On 29 December 2014, International Crops Research Institute for the Semi-Arid Tropics (ICRISAT) launched GreenPHABLET for small farmers.	29 दिसंबर 2014	अर्द्ध शुष्क उष्णकटिबंधीय अंतर्राष्ट्रीय फसल अनुसंधान संस्थान (ICRISAT) ने 29 दिसंबर 2014  को ग्रीन फैबलेट (छोटे किसानों के लिए) की शुरूआत की थी।	Both	Factoid
2566	From what fossil fuels are made up of?	जीवाश्म ईंधन किस से बना है?	Environment	Carbon	Fossil fuels are mainly made up of Carbon.			English	Factoid
2587	What was founded by a consortium of organisations convened by the Ford and the Rockefeller Foundations in 1972?	1972 में फोर्ड और रॉकफेलर फाउंडेशन द्वारा आयोजित संगठनों के एक संघ द्वारा क्या स्थापित किया गया था?	Environment	ICRISAT	It was founded by a consortium of organisations convened by the Ford and the Rockefeller Foundations in 1972.	आईसीआरआईएसएटी	फोर्ड और रॉकफेलर फाउन्डेशन द्वारा बुलाए संगठनों के एक संघ द्वारा इसकी स्थापना 1972 में हुई थी।	Both	Factoid
2586	When ICRISAT is founded?	कब ICRISAT स्थापित किया गया है?	Environment	1972	It was founded by a consortium of organisations convened by the Ford and the Rockefeller Foundations in 1972.	1972	फोर्ड और रॉकफेलर फाउन्डेशन द्वारा बुलाए संगठनों के एक संघ द्वारा इसकी स्थापना 1972 में हुई थी।	Both	Factoid
2585	Where is the headquartered ICRISAT?	ICRISAT का मुख्यालय कहां है?	Environment	Patancheru	ICRISAT is a non-profit agricultural research organization headquartered in Patancheru in Hyderabad, Telangana.	पतनचेरू	अर्द्ध शुष्क उष्णकटिबंधीय अंतर्राष्ट्रीय फसल अनुसंधान संस्थान (ICRISAT) : आईसीआरआईएसएटी एक गैर-लाभकारी कृषि अनुसंधान संगठन है जिसका मुख्यालय हैदराबाद के तेलंगाना में स्थित पतनचेरू में है।	Both	Factoid
2584	What is International Crops Research Institute for the Semi-Arid-Tropics (ICRISAT)?	अर्ध-शुष्क-उष्णकटिबंधीय (आईसीआरआईएसएटी) के लिए अंतर्राष्ट्रीय फसलों अनुसंधान संस्थान क्या है?	Environment	About International Crops Research Institute for the Semi-Arid-Tropics (ICRISAT): ICRISAT is a non-profit agricultural research organization headquartered in Patancheru in Hyderabad, Telangana.	About International Crops Research Institute for the Semi-Arid-Tropics (ICRISAT): ICRISAT is a non-profit agricultural research organization headquartered in Patancheru in Hyderabad, Telangana.	अर्द्ध शुष्क उष्णकटिबंधीय अंतर्राष्ट्रीय फसल अनुसंधान संस्थान (ICRISAT) : आईसीआरआईएसएटी एक गैर-लाभकारी कृषि अनुसंधान संगठन है जिसका मुख्यालय हैदराबाद के तेलंगाना में स्थित पतनचेरू में है।	अर्द्ध शुष्क उष्णकटिबंधीय अंतर्राष्ट्रीय फसल अनुसंधान संस्थान (ICRISAT) : आईसीआरआईएसएटी एक गैर-लाभकारी कृषि अनुसंधान संगठन है जिसका मुख्यालय हैदराबाद के तेलंगाना में स्थित पतनचेरू में है।	Both	Descriptive
2583	In which language voice messages are?	किस भाषा में आवाज संदेश हैं?	Environment	Telugu	These messages are in Telugu, covering various fields like agriculture, animal husbandry, horticulture, insurance, government policies and schemes, Mandi prices, weather forecast, sericulture, pisciculture, crop loans, plant protection and health.	तेलगु	ये संदेश तेलगु में होंगें जिसमें विभिन्न क्षेत्र जैसे- कृषि, पशुपालन, बागवानी, बीमा, सरकार की नीतियां और योजनाएं, मंडी कीमतें, मौसम पूर्वानुमान, रेशम उत्पादन, मछली पालन, फसल ऋण, पौध संरक्षण और स्वास्थ्य शामिल हैं।	Both	Factoid
2582	How many voice messages through the GreenSIM, a farmer will be entitled to receive?	ग्रीमसिम के माध्यम से एक किसान कितने वॉयस मैसेज (आवाज वाले संदेश) प्राप्त करने का हकदार होगा?	Environment	five	Through the GreenSIM, a farmer will be entitled to receive five voice messages.	पांच	ग्रीमसिम के माध्यम से एक किसान पांच वॉयस मैसेज (आवाज वाले संदेश) प्राप्त करने का हकदार होगा।	Both	Factoid
2581	What was created under partnership between ICRISAT, mobile phone service provider Airtel, and the IFFCO (Indian Farmers Fertilizer Cooperative),  Kisan Sanchar Limited (IKSL)?	आईसीआरआईएसएटीटी, मोबाइल फोन सेवा प्रदाता एयरटेल और आईएफएफसीको (इंडियन किसान फर्टिलाइजर कोऑपरेटिव), किसान सांचाल लिमिटेड (आईकेएसएल) के बीच भागीदारी के तहत क्या बनाया गया था?	Environment	GreenSIM	The GreenSIM was created under partnership between ICRISAT, mobile phone service provider Airtel, and the IFFCO (Indian Farmers Fertilizer Cooperative),  Kisan Sanchar Limited (IKSL).	ग्रीनसिम	ग्रीनसिम का निर्माण आईसीआरआईएसएटी, मोबाइल फोन सेवा प्रदाता एयरटेल, और इफको (इंडियन फार्मर्स फर्टिलाइजर कोआपरेटिव) किसान संचार लिमिटेड (आईकेएसएल) के बीच साझेदारी के तहत किया गया है।	Both	Factoid
2580	What will GreenPHABLET device enable?	ग्रीन टैबलेट डिवाइस किसको सक्षम कर देगा?	Environment	The device will enable to share real time information between farmers and researchers which would help to improve crop productivity and researchers to collect accurate data in real time.	The device will enable to share real time information between farmers and researchers which would help to improve crop productivity and researchers to collect accurate data in real time.	डिवाइस किसानों और शोधकर्ताओं के बीच वास्तविक समय की जानकारी साझा करने में सक्षम है जो फसलों की उत्पादकता में सुधार के लिए शोधकर्ताओं को वास्तविक समय में सटीक डाटा एकत्र करने मदद करेगी।	डिवाइस किसानों और शोधकर्ताओं के बीच वास्तविक समय की जानकारी साझा करने में सक्षम है जो फसलों की उत्पादकता में सुधार के लिए शोधकर्ताओं को वास्तविक समय में सटीक डाटा एकत्र करने मदद करेगी।	Both	Descriptive
2589	When Union Road Transport and Highways and Shipping Minister Nitin Gadkari has made its first Tier-I Oil Response in India to facilitate ONGC in Mumbai Port Trust (MBT), Jawaharlal Nehru Port Trust (JNPT) and Nhava and Uran?	कब केंद्रीय सड़क परिवहन और राजमार्ग एवं जहाजरानी मंत्री नितिन गडकरी ने मुंबई पोर्ट ट्रस्ट (एमबीटी), जवाहरलाल नेहरू पोर्ट ट्रस्ट (जेएनपीटी) और न्हावा तथा उरण में ओएनजीसी की सुविधा के लिए भारत में अपने तरह के पहले टीयर-I ऑयल रिस्पांस सेंटर (ओएसआरसी) का उद्धाटन किया?	Environment	5 June 2015	Union Minister of Road Transport and Highways and Shipping Nitin Gadkari on 5 June 2015 inaugurated India’s first-of-its-kind Tier-I Oil Spill Response Centre (OSRC) for Mumbai Port Trust (MBT), Jawaharlal Nehru Port Trust (JNPT) and ONGC’s facilities at Nhava and Uran.	5 जून 2015	5 जून 2015 को केंद्रीय सड़क परिवहन और राजमार्ग एवं जहाजरानी मंत्री नितिन गडकरी ने मुंबई पोर्ट ट्रस्ट (एमबीटी), जवाहरलाल नेहरू पोर्ट ट्रस्ट (जेएनपीटी) और न्हावा तथा उरण में ओएनजीसी की सुविधा के लिए भारत में अपने तरह के पहले टीयर-I ऑयल रिस्पांस सेंटर (ओएसआरसी) का उद्धाटन किया।	Both	Factoid
2588	Which centre will also ensure prompt response and appropriate response technique to prevent, control and combat oil pollution and dispose off recovered material in an environmentally acceptable manner?	कौन सा केन्द्र पर्यावरण प्रदूषण को रोकने, नियंत्रित करने और नियंत्रण करने और पर्यावरण की दृष्टि से स्वीकार्य तरीके से पुनर्प्राप्त सामग्री को निपटाने के लिए तुरंत प्रतिक्रिया और उचित प्रतिक्रिया तकनीक को सुनिश्चित करेगा?	Environment	OSR Centre	The OSR Centre also ensure prompt response and appropriate response technique to prevent, control and combat oil pollution and dispose off recovered material in an environmentally acceptable manner.	ऑयल रिस्पांस सेंटर केंद्र	पहले टीयर-I ऑयल रिस्पांस सेंटर केंद्र की स्थापना के पीछे का उद्देश्य समुद्री पर्यावरण और सार्वजनिक स्वास्थ्य के लिए पर्याप्त सुरक्षा सुनिश्चित करने के क्रम में तेल बहाव का पता लगाना और रिपोर्टिंग के लिए उपयुक्त और प्रभावी प्रणाली विकसित करना है ।	Both	Factoid
